SPEI12(t-1),SPEI12(t-2),SPEI12(t-3),SPEI12
-0.07589719,-0.06230653,0.060989255,0.151571968
0.151571968,-0.07589719,-0.06230653,0.201472636
0.201472636,0.151571968,-0.07589719,0.771931735
0.771931735,0.201472636,0.151571968,0.724004371
0.724004371,0.771931735,0.201472636,0.406011177
0.406011177,0.724004371,0.771931735,0.250202553
0.250202553,0.406011177,0.724004371,0.997271401
0.997271401,0.250202553,0.406011177,1.223230689
1.223230689,0.997271401,0.250202553,1.246810015
1.246810015,1.223230689,0.997271401,1.586161986
1.586161986,1.246810015,1.223230689,1.94271817
1.94271817,1.586161986,1.246810015,1.883371023
1.883371023,1.94271817,1.586161986,1.86929916
1.86929916,1.883371023,1.94271817,1.937502312
1.937502312,1.86929916,1.883371023,1.539514098
1.539514098,1.937502312,1.86929916,1.427755705
1.427755705,1.539514098,1.937502312,1.622254652
1.622254652,1.427755705,1.539514098,1.709260415
1.709260415,1.622254652,1.427755705,0.98908575
0.98908575,1.709260415,1.622254652,0.660531989
0.660531989,0.98908575,1.709260415,0.52681647
0.52681647,0.660531989,0.98908575,0.009234531
0.009234531,0.52681647,0.660531989,-0.167164994
-0.167164994,0.009234531,0.52681647,-0.047674463
-0.047674463,-0.167164994,0.009234531,-0.106519291
-0.106519291,-0.047674463,-0.167164994,0.61591495
0.61591495,-0.106519291,-0.047674463,0.095509935
0.095509935,0.61591495,-0.106519291,0.257324608
0.257324608,0.095509935,0.61591495,0.168009703
0.168009703,0.257324608,0.095509935,-0.094950006
-0.094950006,0.168009703,0.257324608,-0.071359395
-0.071359395,-0.094950006,0.168009703,-0.034424025
-0.034424025,-0.071359395,-0.094950006,0.059869945
0.059869945,-0.034424025,-0.071359395,0.121130785
0.121130785,0.059869945,-0.034424025,0.232838345
0.232838345,0.121130785,0.059869945,0.507805688
0.507805688,0.232838345,0.121130785,0.763773605
0.763773605,0.507805688,0.232838345,0.392405603
0.392405603,0.763773605,0.507805688,0.903985795
0.903985795,0.392405603,0.763773605,0.592656847
0.592656847,0.903985795,0.392405603,0.992350309
0.992350309,0.592656847,0.903985795,1.36056212
1.36056212,0.992350309,0.592656847,1.24298604
1.24298604,1.36056212,0.992350309,0.982825015
0.982825015,1.24298604,1.36056212,0.772100426
0.772100426,0.982825015,1.24298604,0.642749891
0.642749891,0.772100426,0.982825015,0.454398819
0.454398819,0.642749891,0.772100426,0.06417434
0.06417434,0.454398819,0.642749891,-0.482103463
-0.482103463,0.06417434,0.454398819,-0.575375395
-0.575375395,-0.482103463,0.06417434,-0.307796688
-0.307796688,-0.575375395,-0.482103463,-0.445465023
-0.445465023,-0.307796688,-0.575375395,-0.697703474
-0.697703474,-0.445465023,-0.307796688,-1.308540776
-1.308540776,-0.697703474,-0.445465023,-1.151713251
-1.151713251,-1.308540776,-0.697703474,-0.979448222
-0.979448222,-1.151713251,-1.308540776,-0.999585294
-0.999585294,-0.979448222,-1.151713251,-0.898415839
-0.898415839,-0.999585294,-0.979448222,-0.883704335
-0.883704335,-0.898415839,-0.999585294,-0.65835065
-0.65835065,-0.883704335,-0.898415839,-0.273678717
-0.273678717,-0.65835065,-0.883704335,-0.645398774
-0.645398774,-0.273678717,-0.65835065,-1.127562476
-1.127562476,-0.645398774,-0.273678717,-0.468482455
-0.468482455,-1.127562476,-0.645398774,-0.523541797
-0.523541797,-0.468482455,-1.127562476,-0.248682555
-0.248682555,-0.523541797,-0.468482455,-0.316913756
-0.316913756,-0.248682555,-0.523541797,-0.357756371
-0.357756371,-0.316913756,-0.248682555,-0.439407617
-0.439407617,-0.357756371,-0.316913756,-0.430627178
-0.430627178,-0.439407617,-0.357756371,-0.393302174
-0.393302174,-0.430627178,-0.439407617,-0.568737348
-0.568737348,-0.393302174,-0.430627178,-0.817920129
-0.817920129,-0.568737348,-0.393302174,-0.985898066
-0.985898066,-0.817920129,-0.568737348,-0.646906635
-0.646906635,-0.985898066,-0.817920129,-1.327387802
-1.327387802,-0.646906635,-0.985898066,-1.455310659
-1.455310659,-1.327387802,-0.646906635,-1.076238455
-1.076238455,-1.455310659,-1.327387802,-0.685450807
-0.685450807,-1.076238455,-1.455310659,-0.569506684
-0.569506684,-0.685450807,-1.076238455,0.080913024
0.080913024,-0.569506684,-0.685450807,-0.052739887
-0.052739887,0.080913024,-0.569506684,0.205907957
0.205907957,-0.052739887,0.080913024,0.154458808
0.154458808,0.205907957,-0.052739887,0.49111671
0.49111671,0.154458808,0.205907957,0.916058115
0.916058115,0.49111671,0.154458808,0.665169983
0.665169983,0.916058115,0.49111671,1.109297975
1.109297975,0.665169983,0.916058115,1.357045042
1.357045042,1.109297975,0.665169983,1.055234628
1.055234628,1.357045042,1.109297975,1.161569492
1.161569492,1.055234628,1.357045042,1.07936229
1.07936229,1.161569492,1.055234628,0.617965136
0.617965136,1.07936229,1.161569492,0.639470973
0.639470973,0.617965136,1.07936229,0.595555471
0.595555471,0.639470973,0.617965136,0.71013466
0.71013466,0.595555471,0.639470973,0.550967284
0.550967284,0.71013466,0.595555471,0.473157426
0.473157426,0.550967284,0.71013466,0.3388067
0.3388067,0.473157426,0.550967284,0.383965873
0.383965873,0.3388067,0.473157426,0.155095015
0.155095015,0.383965873,0.3388067,0.022808077
0.022808077,0.155095015,0.383965873,-0.445688313
-0.445688313,0.022808077,0.155095015,-0.182436448
-0.182436448,-0.445688313,0.022808077,-0.128571309
-0.128571309,-0.182436448,-0.445688313,0.125769667
0.125769667,-0.128571309,-0.182436448,-0.032467467
-0.032467467,0.125769667,-0.128571309,-0.259412059
-0.259412059,-0.032467467,0.125769667,-0.066603953
-0.066603953,-0.259412059,-0.032467467,0.569375784
0.569375784,-0.066603953,-0.259412059,0.467294151
0.467294151,0.569375784,-0.066603953,0.38148312
0.38148312,0.467294151,0.569375784,0.837939852
0.837939852,0.38148312,0.467294151,0.970619034
0.970619034,0.837939852,0.38148312,1.262035283
1.262035283,0.970619034,0.837939852,1.147054002
