SPEI12(t-3),SPEI12(t-4),SPEI12(t-5),SPEI12
0.332900595,0.612786582,0.599730706,0.265786186
-0.011680571,0.332900595,0.612786582,0.363847711
0.267832112,-0.011680571,0.332900595,0.592141353
0.265786186,0.267832112,-0.011680571,0.695471501
0.363847711,0.265786186,0.267832112,0.893172985
0.592141353,0.363847711,0.265786186,0.810811812
0.695471501,0.592141353,0.363847711,0.883122002
0.893172985,0.695471501,0.592141353,1.224310717
0.810811812,0.893172985,0.695471501,1.665812449
0.883122002,0.810811812,0.893172985,1.614184734
1.224310717,0.883122002,0.810811812,1.951345384
1.665812449,1.224310717,0.883122002,1.82767544
1.614184734,1.665812449,1.224310717,1.96142836
1.951345384,1.614184734,1.665812449,1.780566537
1.82767544,1.951345384,1.614184734,1.440303302
1.96142836,1.82767544,1.951345384,1.301633893
1.780566537,1.96142836,1.82767544,0.851787654
1.440303302,1.780566537,1.96142836,0.79954394
1.301633893,1.440303302,1.780566537,0.275875635
0.851787654,1.301633893,1.440303302,0.108849398
0.79954394,0.851787654,1.301633893,0.219608962
0.275875635,0.79954394,0.851787654,0.718100953
0.108849398,0.275875635,0.79954394,0.68905472
0.219608962,0.108849398,0.275875635,0.572837487
0.718100953,0.219608962,0.108849398,-0.025855665
0.68905472,0.718100953,0.219608962,0.919483804
0.572837487,0.68905472,0.718100953,1.147632136
-0.025855665,0.572837487,0.68905472,1.426769743
0.919483804,-0.025855665,0.572837487,1.641589776
1.147632136,0.919483804,-0.025855665,2.030477675
1.426769743,1.147632136,0.919483804,2.298466202
1.641589776,1.426769743,1.147632136,2.063564285
2.030477675,1.641589776,1.426769743,1.850462673
2.298466202,2.030477675,1.641589776,1.485665147
2.063564285,2.298466202,2.030477675,1.61279901
1.850462673,2.063564285,2.298466202,1.574419641
1.485665147,1.850462673,2.063564285,1.568501263
1.61279901,1.485665147,1.850462673,0.919946179
1.574419641,1.61279901,1.485665147,0.974092651
1.568501263,1.574419641,1.61279901,0.831090629
0.919946179,1.568501263,1.574419641,0.698469257
0.974092651,0.919946179,1.568501263,0.39003089
0.831090629,0.974092651,0.919946179,-0.145239397
0.698469257,0.831090629,0.974092651,-0.59247092
0.39003089,0.698469257,0.831090629,-0.539213001
-0.145239397,0.39003089,0.698469257,-0.454801982
-0.59247092,-0.145239397,0.39003089,-1.216703009
-0.539213001,-0.59247092,-0.145239397,-1.21818125
-0.454801982,-0.539213001,-0.59247092,-0.577454054
-1.216703009,-0.454801982,-0.539213001,-0.452453951
-1.21818125,-1.216703009,-0.454801982,-0.805650782
-0.577454054,-1.21818125,-1.216703009,-1.264500825
-0.452453951,-0.577454054,-1.21818125,-1.148917803
-0.805650782,-0.452453951,-0.577454054,-1.240299633
-1.264500825,-0.805650782,-0.452453951,-1.064065191
-1.148917803,-1.264500825,-0.805650782,-0.646219407
-1.240299633,-1.148917803,-1.264500825,-0.437571496
-1.064065191,-1.240299633,-1.148917803,-0.299765991
-0.646219407,-1.064065191,-1.240299633,0.164396195
-0.437571496,-0.646219407,-1.064065191,-0.138175903
-0.299765991,-0.437571496,-0.646219407,-0.594726194
0.164396195,-0.299765991,-0.437571496,-0.259994079
-0.138175903,0.164396195,-0.299765991,-0.332886929
-0.594726194,-0.138175903,0.164396195,0.187515215
-0.259994079,-0.594726194,-0.138175903,0.090995384
-0.332886929,-0.259994079,-0.594726194,0.338040929
0.187515215,-0.332886929,-0.259994079,-0.132207421
0.090995384,0.187515215,-0.332886929,-0.105513988
0.338040929,0.090995384,0.187515215,-0.465350041
-0.132207421,0.338040929,0.090995384,-0.503282607
-0.105513988,-0.132207421,0.338040929,-0.520553269
-0.465350041,-0.105513988,-0.132207421,-0.573847844
-0.503282607,-0.465350041,-0.105513988,-0.265132781
-0.520553269,-0.503282607,-0.465350041,-0.941662869
-0.573847844,-0.520553269,-0.503282607,-1.023174094
-0.265132781,-0.573847844,-0.520553269,-0.82378199
-0.941662869,-0.265132781,-0.573847844,-0.363247251
-1.023174094,-0.941662869,-0.265132781,-0.384792711
-0.82378199,-1.023174094,-0.941662869,0.403673544
-0.363247251,-0.82378199,-1.023174094,0.25966834
-0.384792711,-0.363247251,-0.82378199,0.722495263
0.403673544,-0.384792711,-0.363247251,0.746050339
0.25966834,0.403673544,-0.384792711,1.231855326
0.722495263,0.25966834,0.403673544,1.381422578
0.746050339,0.722495263,0.25966834,1.155546961
1.231855326,0.746050339,0.722495263,1.673843523
1.381422578,1.231855326,0.746050339,1.788380822
1.155546961,1.381422578,1.231855326,1.477324318
1.673843523,1.155546961,1.381422578,1.610682645
