SPEI12(t-3),SPEI12(t-4),SPEI12(t-5),SPEI12
-0.07589719,-0.06230653,0.060989255,0.771931735
0.151571968,-0.07589719,-0.06230653,0.724004371
0.201472636,0.151571968,-0.07589719,0.406011177
0.771931735,0.201472636,0.151571968,0.250202553
0.724004371,0.771931735,0.201472636,0.997271401
0.406011177,0.724004371,0.771931735,1.223230689
0.250202553,0.406011177,0.724004371,1.246810015
0.997271401,0.250202553,0.406011177,1.586161986
1.223230689,0.997271401,0.250202553,1.94271817
1.246810015,1.223230689,0.997271401,1.883371023
1.586161986,1.246810015,1.223230689,1.86929916
1.94271817,1.586161986,1.246810015,1.937502312
1.883371023,1.94271817,1.586161986,1.539514098
1.86929916,1.883371023,1.94271817,1.427755705
1.937502312,1.86929916,1.883371023,1.622254652
1.539514098,1.937502312,1.86929916,1.709260415
1.427755705,1.539514098,1.937502312,0.98908575
1.622254652,1.427755705,1.539514098,0.660531989
1.709260415,1.622254652,1.427755705,0.52681647
0.98908575,1.709260415,1.622254652,0.009234531
0.660531989,0.98908575,1.709260415,-0.167164994
0.52681647,0.660531989,0.98908575,-0.047674463
0.009234531,0.52681647,0.660531989,-0.106519291
-0.167164994,0.009234531,0.52681647,0.61591495
-0.047674463,-0.167164994,0.009234531,0.095509935
-0.106519291,-0.047674463,-0.167164994,0.257324608
0.61591495,-0.106519291,-0.047674463,0.168009703
0.095509935,0.61591495,-0.106519291,-0.094950006
0.257324608,0.095509935,0.61591495,-0.071359395
0.168009703,0.257324608,0.095509935,-0.034424025
-0.094950006,0.168009703,0.257324608,0.059869945
-0.071359395,-0.094950006,0.168009703,0.121130785
-0.034424025,-0.071359395,-0.094950006,0.232838345
0.059869945,-0.034424025,-0.071359395,0.507805688
0.121130785,0.059869945,-0.034424025,0.763773605
0.232838345,0.121130785,0.059869945,0.392405603
0.507805688,0.232838345,0.121130785,0.903985795
0.763773605,0.507805688,0.232838345,0.592656847
0.392405603,0.763773605,0.507805688,0.992350309
0.903985795,0.392405603,0.763773605,1.36056212
0.592656847,0.903985795,0.392405603,1.24298604
0.992350309,0.592656847,0.903985795,0.982825015
1.36056212,0.992350309,0.592656847,0.772100426
1.24298604,1.36056212,0.992350309,0.642749891
0.982825015,1.24298604,1.36056212,0.454398819
0.772100426,0.982825015,1.24298604,0.06417434
0.642749891,0.772100426,0.982825015,-0.482103463
0.454398819,0.642749891,0.772100426,-0.575375395
0.06417434,0.454398819,0.642749891,-0.307796688
-0.482103463,0.06417434,0.454398819,-0.445465023
-0.575375395,-0.482103463,0.06417434,-0.697703474
-0.307796688,-0.575375395,-0.482103463,-1.308540776
-0.445465023,-0.307796688,-0.575375395,-1.151713251
-0.697703474,-0.445465023,-0.307796688,-0.979448222
-1.308540776,-0.697703474,-0.445465023,-0.999585294
-1.151713251,-1.308540776,-0.697703474,-0.898415839
-0.979448222,-1.151713251,-1.308540776,-0.883704335
-0.999585294,-0.979448222,-1.151713251,-0.65835065
-0.898415839,-0.999585294,-0.979448222,-0.273678717
-0.883704335,-0.898415839,-0.999585294,-0.645398774
-0.65835065,-0.883704335,-0.898415839,-1.127562476
-0.273678717,-0.65835065,-0.883704335,-0.468482455
-0.645398774,-0.273678717,-0.65835065,-0.523541797
-1.127562476,-0.645398774,-0.273678717,-0.248682555
-0.468482455,-1.127562476,-0.645398774,-0.316913756
-0.523541797,-0.468482455,-1.127562476,-0.357756371
-0.248682555,-0.523541797,-0.468482455,-0.439407617
-0.316913756,-0.248682555,-0.523541797,-0.430627178
-0.357756371,-0.316913756,-0.248682555,-0.393302174
-0.439407617,-0.357756371,-0.316913756,-0.568737348
-0.430627178,-0.439407617,-0.357756371,-0.817920129
-0.393302174,-0.430627178,-0.439407617,-0.985898066
-0.568737348,-0.393302174,-0.430627178,-0.646906635
-0.817920129,-0.568737348,-0.393302174,-1.327387802
-0.985898066,-0.817920129,-0.568737348,-1.455310659
-0.646906635,-0.985898066,-0.817920129,-1.076238455
-1.327387802,-0.646906635,-0.985898066,-0.685450807
-1.455310659,-1.327387802,-0.646906635,-0.569506684
-1.076238455,-1.455310659,-1.327387802,0.080913024
-0.685450807,-1.076238455,-1.455310659,-0.052739887
-0.569506684,-0.685450807,-1.076238455,0.205907957
0.080913024,-0.569506684,-0.685450807,0.154458808
-0.052739887,0.080913024,-0.569506684,0.49111671
0.205907957,-0.052739887,0.080913024,0.916058115
0.154458808,0.205907957,-0.052739887,0.665169983
0.49111671,0.154458808,0.205907957,1.109297975
0.916058115,0.49111671,0.154458808,1.357045042
0.665169983,0.916058115,0.49111671,1.055234628
1.109297975,0.665169983,0.916058115,1.161569492
1.357045042,1.109297975,0.665169983,1.07936229
1.055234628,1.357045042,1.109297975,0.617965136
1.161569492,1.055234628,1.357045042,0.639470973
1.07936229,1.161569492,1.055234628,0.595555471
0.617965136,1.07936229,1.161569492,0.71013466
0.639470973,0.617965136,1.07936229,0.550967284
0.595555471,0.639470973,0.617965136,0.473157426
0.71013466,0.595555471,0.639470973,0.3388067
0.550967284,0.71013466,0.595555471,0.383965873
0.473157426,0.550967284,0.71013466,0.155095015
0.3388067,0.473157426,0.550967284,0.022808077
0.383965873,0.3388067,0.473157426,-0.445688313
0.155095015,0.383965873,0.3388067,-0.182436448
0.022808077,0.155095015,0.383965873,-0.128571309
-0.445688313,0.022808077,0.155095015,0.125769667
-0.182436448,-0.445688313,0.022808077,-0.032467467
-0.128571309,-0.182436448,-0.445688313,-0.259412059
0.125769667,-0.128571309,-0.182436448,-0.066603953
-0.032467467,0.125769667,-0.128571309,0.569375784
-0.259412059,-0.032467467,0.125769667,0.467294151
-0.066603953,-0.259412059,-0.032467467,0.38148312
0.569375784,-0.066603953,-0.259412059,0.837939852
0.467294151,0.569375784,-0.066603953,0.970619034
0.38148312,0.467294151,0.569375784,1.262035283
0.837939852,0.38148312,0.467294151,1.147054002
0.970619034,0.837939852,0.38148312,1.980800467
1.262035283,0.970619034,0.837939852,1.960799028
1.147054002,1.262035283,0.970619034,1.7619579
1.980800467,1.147054002,1.262035283,1.756625893
1.960799028,1.980800467,1.147054002,1.433100005
1.7619579,1.960799028,1.980800467,0.653041405
1.756625893,1.7619579,1.960799028,0.391315386
1.433100005,1.756625893,1.7619579,0.39534226
0.653041405,1.433100005,1.756625893,0.693539667
0.391315386,0.653041405,1.433100005,0.828149403
0.39534226,0.391315386,0.653041405,0.587420248
0.693539667,0.39534226,0.391315386,0.593536056
0.828149403,0.693539667,0.39534226,-0.159168303
0.587420248,0.828149403,0.693539667,-0.316258575
0.593536056,0.587420248,0.828149403,0.396002053
-0.159168303,0.593536056,0.587420248,0.526030762
-0.316258575,-0.159168303,0.593536056,0.589228862
0.396002053,-0.316258575,-0.159168303,0.446640303
0.526030762,0.396002053,-0.316258575,0.720099182
0.589228862,0.526030762,0.396002053,1.375322835
0.446640303,0.589228862,0.526030762,1.088580533
0.720099182,0.446640303,0.589228862,0.49808412
1.375322835,0.720099182,0.446640303,0.683303542
1.088580533,1.375322835,0.720099182,0.474436632
0.49808412,1.088580533,1.375322835,0.613355085
0.683303542,0.49808412,1.088580533,0.563923333
0.474436632,0.683303542,0.49808412,0.075559542
0.613355085,0.474436632,0.683303542,0.300506409
0.563923333,0.613355085,0.474436632,0.568567046
0.075559542,0.563923333,0.613355085,0.857300135
0.300506409,0.075559542,0.563923333,0.960645465
0.568567046,0.300506409,0.075559542,0.615055934
0.857300135,0.568567046,0.300506409,-0.048026274
0.960645465,0.857300135,0.568567046,0.062014106
0.615055934,0.960645465,0.857300135,0.167821918
-0.048026274,0.615055934,0.960645465,0.168367924
0.062014106,-0.048026274,0.615055934,0.293340338
0.167821918,0.062014106,-0.048026274,0.430295093
0.168367924,0.167821918,0.062014106,0.257124766
0.293340338,0.168367924,0.167821918,0.385885724
0.430295093,0.293340338,0.168367924,0.27728928
0.257124766,0.430295093,0.293340338,0.380067293
0.385885724,0.257124766,0.430295093,0.433369888
0.27728928,0.385885724,0.257124766,0.075890078
0.380067293,0.27728928,0.385885724,0.206443595
0.433369888,0.380067293,0.27728928,0.25060972
0.075890078,0.433369888,0.380067293,-0.334821388
0.206443595,0.075890078,0.433369888,-0.22755753
0.25060972,0.206443595,0.075890078,-0.362862473
-0.334821388,0.25060972,0.206443595,-0.386579569
-0.22755753,-0.334821388,0.25060972,-0.258001901
-0.362862473,-0.22755753,-0.334821388,-0.824573835
-0.386579569,-0.362862473,-0.22755753,-0.884071455
-0.258001901,-0.386579569,-0.362862473,-1.160558496
-0.824573835,-0.258001901,-0.386579569,-1.259917333
-0.884071455,-0.824573835,-0.258001901,-1.189474129
-1.160558496,-0.884071455,-0.824573835,-1.062462204
-1.259917333,-1.160558496,-0.884071455,-1.218865294
-1.189474129,-1.259917333,-1.160558496,-1.045933206
-1.062462204,-1.189474129,-1.259917333,-1.186496739
-1.218865294,-1.062462204,-1.189474129,-1.209755282
-1.045933206,-1.218865294,-1.062462204,-1.405548629
-1.186496739,-1.045933206,-1.218865294,-1.274740213
-1.209755282,-1.186496739,-1.045933206,-0.993577552
-1.405548629,-1.209755282,-1.186496739,-0.878792733
-1.274740213,-1.405548629,-1.209755282,-0.705547937
-0.993577552,-1.274740213,-1.405548629,-0.72467902
-0.878792733,-0.993577552,-1.274740213,-0.125561677
-0.705547937,-0.878792733,-0.993577552,-0.315504361
-0.72467902,-0.705547937,-0.878792733,0.130633529
-0.125561677,-0.72467902,-0.705547937,0.391878842
-0.315504361,-0.125561677,-0.72467902,0.367392974
0.130633529,-0.315504361,-0.125561677,0.325958481
0.391878842,0.130633529,-0.315504361,0.334368762
0.367392974,0.391878842,0.130633529,0.094001547
0.325958481,0.367392974,0.391878842,-0.093687486
0.334368762,0.325958481,0.367392974,-0.129453073
0.094001547,0.334368762,0.325958481,-0.259992258
-0.093687486,0.094001547,0.334368762,-0.281952234
-0.129453073,-0.093687486,0.094001547,-1.057371944
-0.259992258,-0.129453073,-0.093687486,-0.659606359
-0.281952234,-0.259992258,-0.129453073,-1.116741079
-1.057371944,-0.281952234,-0.259992258,-1.395264125
-0.659606359,-1.057371944,-0.281952234,-1.368386733
-1.116741079,-0.659606359,-1.057371944,-1.432270224
-1.395264125,-1.116741079,-0.659606359,-1.146885296
-1.368386733,-1.395264125,-1.116741079,-1.305803181
-1.432270224,-1.368386733,-1.395264125,-1.226824183
-1.146885296,-1.432270224,-1.368386733,-1.087376096
-1.305803181,-1.146885296,-1.432270224,-1.290635026
-1.226824183,-1.305803181,-1.146885296,-0.710496698
-1.087376096,-1.226824183,-1.305803181,-0.525630761
-1.290635026,-1.087376096,-1.226824183,-0.583518818
-0.710496698,-1.290635026,-1.087376096,-0.492164676
-0.525630761,-0.710496698,-1.290635026,0.015347189
-0.583518818,-0.525630761,-0.710496698,-0.058767138
-0.492164676,-0.583518818,-0.525630761,-0.226036134
0.015347189,-0.492164676,-0.583518818,-0.448082718
-0.058767138,0.015347189,-0.492164676,-0.401347469
-0.226036134,-0.058767138,0.015347189,-0.327492844
-0.448082718,-0.226036134,-0.058767138,-0.581399281
-0.401347469,-0.448082718,-0.226036134,-0.889820406
-0.327492844,-0.401347469,-0.448082718,-1.652855953
-0.581399281,-0.327492844,-0.401347469,-1.600851647
-0.889820406,-0.581399281,-0.327492844,-1.21425863
-1.652855953,-0.889820406,-0.581399281,-1.243606253
-1.600851647,-1.652855953,-0.889820406,-1.363809236
-1.21425863,-1.600851647,-1.652855953,-1.618684712
-1.243606253,-1.21425863,-1.600851647,-1.629908586
-1.363809236,-1.243606253,-1.21425863,-1.450238177
-1.618684712,-1.363809236,-1.243606253,-1.568395087
-1.629908586,-1.618684712,-1.363809236,-1.706104957
-1.450238177,-1.629908586,-1.618684712,-1.813267706
-1.568395087,-1.450238177,-1.629908586,-1.49794314
-1.706104957,-1.568395087,-1.450238177,-1.435205773
-1.813267706,-1.706104957,-1.568395087,-1.473907376
-1.49794314,-1.813267706,-1.706104957,-1.90801693
-1.435205773,-1.49794314,-1.813267706,-1.973758262
-1.473907376,-1.435205773,-1.49794314,-1.685827968
-1.90801693,-1.473907376,-1.435205773,-1.409291835
-1.973758262,-1.90801693,-1.473907376,-1.283282684
-1.685827968,-1.973758262,-1.90801693,-1.383159757
-1.409291835,-1.685827968,-1.973758262,-1.22632995
-1.283282684,-1.409291835,-1.685827968,-1.288470144
-1.383159757,-1.283282684,-1.409291835,-1.108228217
-1.22632995,-1.383159757,-1.283282684,-1.040678459
-1.288470144,-1.22632995,-1.383159757,-0.767517443
-1.108228217,-1.288470144,-1.22632995,-0.907191851
-1.040678459,-1.108228217,-1.288470144,-1.011291774
-0.767517443,-1.040678459,-1.108228217,-1.231448041
-0.907191851,-0.767517443,-1.040678459,-1.513207943
-1.011291774,-0.907191851,-0.767517443,-1.729796273
